original_language,popularity,title,vote_average,tconst,primary_title,start_year,runtime_minutes,genres,movie,production_budget,worldwide_gross
en,3.952,Ceremony,5.2,tt1341341,Ceremony,2010,89.0,"Comedy,Romance",Contact,90000000,165900000.0
en,3.948,Legendary,6.4,tt1563704,Legendary,2010,107.0,"Drama,Sport",The Magnificent Seven,90000000,162525156.0
en,3.948,The Stranger,5.0,tt2238470,The Stranger,2014,93.0,"Drama,Horror,Mystery",Atlantis: The Lost Empire,90000000,186049020.0
en,4.27,The Stranger,4.8,tt2238470,The Stranger,2014,93.0,"Drama,Horror,Mystery",Lara Croft: Tomb Raider: The Cradle of Life,90000000,157092943.0
en,4.27,The Stranger,4.8,tt4016718,The Stranger,2014,94.0,"Drama,Fantasy,Mystery",Spy Game,90000000,143049560.0
en,4.27,The Stranger,4.8,tt2238470,The Stranger,2014,93.0,"Drama,Horror,Mystery",Volcano,90000000,120100000.0
en,4.27,The Stranger,4.8,tt3423532,The Stranger,2014,84.0,"Adventure,Biography,Documentary",The Devil's Own,90000000,140900000.0
en,4.27,The Stranger,4.8,tt4016718,The Stranger,2014,94.0,"Drama,Fantasy,Mystery",K-19: The Widowmaker,90000000,65716126.0
en,4.27,The Stranger,4.8,tt5139934,The Stranger,2015,66.0,Drama,The Promise,90000000,10551417.0
en,3.829,The People vs. George Lucas,6.4,tt1325014,The People vs. George Lucas,2010,93.0,"Comedy,Documentary",Cinderella Man,88000000,105021488.0
en,3.793,Christmas Mail,5.4,tt1663628,Christmas Mail,2010,89.0,"Comedy,Drama,Family",The Predator,88000000,159487563.0
en,3.707,Waste Land,7.7,tt1268204,Waste Land,2010,99.0,Documentary,Seabiscuit,86000000,148715342.0
en,3.5810000000000004,Tracker,6.7,tt1414378,Tracker,2010,102.0,"Action,Adventure,Drama",I Now Pronounce You Chuck and Larry,85000000,185708462.0
en,3.454,Locked In,4.2,tt1398028,Locked In,2010,85.0,"Drama,Thriller",Mirror Mirror,85000000,173613482.0
